gender,arch1,prog1,arch2,prog2
male,99,98,83,94
male,NA,NA,86,77
male,97,97,92,93
male,99,97,95,96
male,89,92,86,94
male,91,97,91,97
male,100,88,96,85
female,86,82,89,87
male,89,88,65,84
male,85,90,83,85
male,50,91,84,93
male,96,71,56,83
female,98,80,81,94
male,96,76,59,84
male,73,72,91,87
male,67,82,80,77
male,80,85,94,72
male,91,76,85,84
male,89,81,77,81
male,77,81,88,91
male,71,82,59,79
male,84,81,88,77
male,95,83,92,63
male,3,87,56,76
female,95,65,63,82
female,NA,NA,91,65
male,59,79,73,82
male,95,83,49,69
male,80,80,87,72
male,97,92,98,96
male,81,89,41,57
male,77,70,51,71
male,69,74,83,68
male,82,79,57,45
female,85,66,56,67
male,87,68,56,78
male,88,76,47,61
male,83,76,41,65
male,51,67,49,79
female,76,63,57,76
male,88,64,48,53
male,61,53,54,61
male,83,60,56,49
male,90,78,81,50
male,40,67,53,68
male,92,61,47,64
male,76,69,44,59
male,72,61,62,56
female,77,53,48,60
male,58,52,50,73
male,63,62,40,48
male,48,73,74,53
male,40,75,43,52
male,40,40,48,62
male,75,67,40,45
female,49,61,49,44
male,54,47,43,52
male,56,55,44,55
male,75,40,40,51
male,64,86,50,81
female,88,40,43,83
male,82,66,51,63
male,73,64,28,54
female,59,28,60,51
male,74,57,45,61
male,45,69,35,40
male,70,52,40,43
male,74,29,44,52
male,43,25,31,14
male,49,69,40,24
male,45,29,32,25
male,74,71,40,46
male,46,56,50,28
male,56,52,42,57
male,16,33,16,9
male,21,25,26,12
male,47,56,43,16
male,77,60,47,62
male,27,40,37,6
male,74,13,40,18
female,16,14,NA,NA
male,14,31,14,20
male,23,54,48,NA
male,83,76,58,75
female,NA,15,16,NA
male,45,40,40,61
male,40,28,26,9
male,48,27,23,16
male,91,89,6,73
female,50,27,22,11
male,77,82,45,65
male,49,49,36,31
male,96,84,48,29
female,21,29,25,5
male,61,40,34,11
male,50,19,41,NA
female,68,74,30,48
male,50,40,51,56
male,69,59,25,40
male,60,36,40,28
female,43,14,NA,NA
male,43,30,40,14
male,47,68,43,34
female,60,47,40,NA
male,40,68,57,75
male,45,26,38,6
male,45,31,NA,NA
female,31,21,32,8
male,49,12,24,14
male,87,40,40,32
male,40,76,49,17
female,8,29,15,14
male,62,46,50,31
male,14,21,NA,NA
male,7,25,27,7
male,16,27,25,7
male,73,51,48,23
male,56,54,49,25
male,46,64,13,19
